userName,score,content,at,replyContent
Khofifah Akhlakunisa,1,"asli lama lama males main ML . isinya dark system semua,,, udah disering sama monton.. ,,, menang 1x. kalah rattusan kali",2026-01-05 22:43:16,
Abi Bayu,1,game haram,2026-01-05 22:43:15,
Suman Bwi,5,"saya sarankan Tambahkan Syarat permainan 18+ karena game ini sangat toxic dan tidak ramah,bahkan banyak sekali dark system yg tak sesuai rank dengan skillny",2026-01-05 22:43:10,
Mulki Alhamzah,1,banyak dark sistem,2026-01-05 22:42:23,
M.Luthfie Zaidan,5,"monton babi kasih gw kalah terus,tapi enak game nya dapat skin gratis colector",2026-01-05 22:42:12,
Mas Anan,5,ok,2026-01-05 22:42:11,
Dila,5,aku suka,2026-01-05 22:41:49,
Rojher Rojher,1,"Pada dasarnya sistem game doktrin sampah yang menjijikkan.. Di paksa tunduk dengan sistem penyimbang macthing, bukan lagi skill bermain melainkan doktrin sistem tersebut.. Doktrin dianogsida. Saya menyatakan perang terhadap sistem game ini...!!",2026-01-05 22:41:41,
Tera Janah,4,gameenyaa baguss tapiii monton nyaa citurr,2026-01-05 22:41:12,
Sukriya Juhari,5,"game yang tidak ramah untuk player solo, rank seperti di setting untuk stag, semakin lama bermain semakin banyak kehilangan bintang, pembagian tim terasa tidak seimbang, solo VS duo/trio, game MOBA paling mengesalkan di dunia.",2026-01-05 22:40:03,
Azzam Pratama,1,"GAME INI BUAT SOLO PLAYER NGGA COCOK, KARNA BAKALAN DI KASIH TEAM YANG SUPER DUPER TOLOL. JADI, KALAHNYA BUKAN KARNA LAWAN YANG SUSAH TAPI LEBIH SERING KARNA TEAM YANG TOLOL...!!!",2026-01-05 22:38:52,
wildan Ismail,1,parah bener inih ml masa saya kalah terus daf tim nya yang baru maen,2026-01-05 22:38:33,
Ega Pratama,1,tolong lah kalo udah menang terus jangan kasih tim epicc,2026-01-05 22:38:30,
Zorneo,1,"ketemu sun roam, ixia roam, dpt roam hc sama sobri mainya dongo giliran musuh jago tolong lah moontod player yang kaya gini di ilangin do ban lah",2026-01-05 22:38:24,
Robi Pratama,1,Moonton goblokkk,2026-01-05 22:38:04,
Marcelino Tandea,1,"pembagian team tdk seimbang, se team bot team lawan pro",2026-01-05 22:37:57,
Rangga Hadi Wijaya,2,lost streak 10 kali 😁 sangat luar biasa ini game mempertemukan dengan musuh yang di luar nalar semua,2026-01-05 22:37:25,
Slebew Niann,5,sangat seru bisa offline walaupun musuh nya agak susah tapi tetep debes,2026-01-05 22:37:24,
zuyin,1,kok bisa ya solo semua mytic bisa 1 tim sama legend V ngotak dikit ngapa monton,2026-01-05 22:37:16,
Aldi Patingke,2,"monton anjj masa di Kasih menang 1 kali kalah berkali"" padahal timku gg",2026-01-05 22:36:24,
Dede alvin,1,"sangat mengecewakan tim tolol bodoh yang tidak seimbang, sudah tidak waras ini game tim aneh game tiba tiba berat ping bagus, game ini tidak nyaman buat tim solo buat moonton suka suka mu lah buat kecewa pemain goblok.",2026-01-05 22:35:57,
Astimon Astimon,1,perbaiki lagi jarigan ya muntun aku korban jarigan karna jarigan aku kena kombek.padahal hijau pas ku tindis munsul merah bagi mana ini aku kasi bintang 1 aja,2026-01-05 22:34:07,
Ninung Tampilang,5,Game nya mantap saya suka 👍👍👍👍👍,2026-01-05 22:32:14,
Yasir,3,"moonton gila, di kasih tim anomali terus gue",2026-01-05 22:31:36,
Raihan,5,"untuk gameplay jelas tdk seimbang mending ke sebelah (ytta) dan akhir² ini ada bug yg meresahkan sama kekuatan sinyal yg melemah d saat bermain,saat buka aplikasi lain aman aja sinyal tolong di perhatikan lagi kalo gini terus mending pindah game sebelah (ytta)",2026-01-05 22:30:53,
Gemilang Bagus,1,jelek bgt 😒😒😒😒😒,2026-01-05 22:28:27,
Ikhnan Anjuba,1,eh montonn bangke gua knp jarigan gua ngeleg mulu kalo main game ml sedangkan yang lain enggak,2026-01-05 22:27:14,
Benjamin,1,matchmaking benerin,2026-01-05 22:27:08,
xt 23,4,"capek dpt tim ampas... bisa minta bikin server lain gak.. biar yg tolol"" itu pindah ke server khusus org tolol",2026-01-05 22:26:44,
Rami Najwa,5,bagus banget,2026-01-05 22:26:08,
ABID SHIDQII MUSYAFA,1,game buat stress doang,2026-01-05 22:25:35,
wahyu,2,diamon gratis,2026-01-05 22:25:14,
Ayam Goreng,5,"kalo orang main solo tuh jangan di kasih dark sistem lah ,yang gk bisa main lu kasih jadi tim gua,game ampas game ampas",2026-01-05 22:25:03,
Jrmbut Pea,5,"sistem nya benerin dong, masa di kasih temen nya bot terusss!. terimakasih",2026-01-05 22:24:53,
Ridzz Ridzzz,5,bagus,2026-01-05 22:24:17,
Ayah muda,1,tapi lu baik bgt kasih lah tim yg bagus,2026-01-05 22:23:55,"Halo Kak,
Kami mohon maaf atas pengalaman kurang menyenangkan yang terjadi.
Bisa bantu kami dengan mengirimkan screenshot atau detail lebih lanjut lewat CS in-game?
Ini sangat membantu kami memperbaiki permainan.
Terima kasih!

Tim MLBB"
Wanda Sulfa Pratama (Wasp),1,Game sampah,2026-01-05 22:23:10,
